Code,Description,ParentLevel0Code,ParentLevel0Name,ParentLevel1Code,ParentLevel1Name,ParentLevel2Code,ParentLevel2Name,ParentLevel3Code,ParentLevel3Name,ParentLevel4Code,ParentLevel4Name,ParentLevel5Code,ParentLevel5Name,LoadedAt
16303,Employee Support Program Reserve 75041,1000A,Unrestricted A,1500B,Designated,1600C,Campus Designated Reserves C,1620D,Campus Reserves,16303,Employee Support Program Reserve 75041,16303,Employee Support Program Reserve 75041,2026-07-01 13:38:29.229
P0806,Corinne L Rustici Endowed in Applied 123720 49277,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0806,Corinne L Rustici Endowed in Applied 123720 49277,P0806,Corinne L Rustici Endowed in Applied 123720 49277,2026-07-01 13:38:29.229
37988,Schwall Floyd and Mary Fellowship,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,37988,Schwall Floyd and Mary Fellowship,37988,Schwall Floyd and Mary Fellowship,2026-07-01 13:38:29.229
37353,Nutrition Dept Research End,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,37353,Nutrition Dept Research End,37353,Nutrition Dept Research End,2026-07-01 13:38:29.229
18072,California Cancer Research,2000A,Restricted Expendable,1800B,Special State Appropriations B,1800C,Special State Appropriations C,1800D,Special State Appropriations D,18072,California Cancer Research,18072,California Cancer Research,2026-07-01 13:38:29.229
74223,Nutrition Research Fund 55981,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,74223,Nutrition Research Fund 55981,74223,Nutrition Research Fund 55981,2026-07-01 13:38:29.229
20403,State and Local Grant Flowthrough,2000A,Restricted Expendable,2000B,ContractsandGrants,2040C,State and Local Contracts and Grants C,2040D,State and Local Contracts and Grants D,20403,State and Local Grant Flowthrough,20403,State and Local Grant Flowthrough,2026-07-01 13:38:29.229
71912,Diabetic Research In Rats 49392,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71912,Diabetic Research In Rats 49392,71912,Diabetic Research In Rats 49392,2026-07-01 13:38:29.229
38434,Nutrition Taubeneck Angel2,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,38434,Nutrition Taubeneck Angel2,38434,Nutrition Taubeneck Angel2,2026-07-01 13:38:29.229
70677,Animal Science Nutrition Rsearch Ji 48155,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,70677,Animal Science Nutrition Rsearch Ji 48155,70677,Animal Science Nutrition Rsearch Ji 48155,2026-07-01 13:38:29.229
20000,Federal Grants,2000A,Restricted Expendable,2000B,ContractsandGrants,2000C,Federal ContractsandGrants C,2000D,Federal ContractsandGrants D,20000,Federal Grants,20000,Federal Grants,2026-07-01 13:38:29.229
E0083,PRN UCD Health Eye Center Education Fund 322947 44626,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,E000D,Restricted Expendable Gifts Foundation,E0083,PRN UCD Health Eye Center Education Fund 322947 44626,E0083,PRN UCD Health Eye Center Education Fund 322947 44626,2026-07-01 13:38:29.229
P0644,Dr William Weir Summer Research Award 123129 49926,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0644,Dr William Weir Summer Research Award 123129 49926,P0644,Dr William Weir Summer Research Award 123129 49926,2026-07-01 13:38:29.229
20701,Private Contract Flowthrough,2000A,Restricted Expendable,2000B,ContractsandGrants,2070C,Private ContactsandGrants C,2070D,Private ContactsandGrants D,20701,Private Contract Flowthrough,20701,Private Contract Flowthrough,2026-07-01 13:38:29.229
12100,Sales and Services Rate Based,1000A,Unrestricted A,1000B,Unrestricted B,1200C,SalesandServices Other,1210D,SalesandServices D,12100,Sales and Services Rate Based,12100,Sales and Services Rate Based,2026-07-01 13:38:29.229
71880,Nutri Res and Edu Havel 49361,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71880,Nutri Res and Edu Havel 49361,71880,Nutri Res and Edu Havel 49361,2026-07-01 13:38:29.229
P1069,Gall Faculty Research Endowment 124758 56594,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P1069,Gall Faculty Research Endowment 124758 56594,P1069,Gall Faculty Research Endowment 124758 56594,2026-07-01 13:38:29.229
16200,Sales and Service Reserves,1000A,Unrestricted A,1500B,Designated,1600C,Campus Designated Reserves C,1620D,Campus Reserves,16200,Sales and Service Reserves,16200,Sales and Service Reserves,2026-07-01 13:38:29.229
13366,Alfred and Alice Lachmann IntL Nutrition,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,13366,Alfred and Alice Lachmann IntL Nutrition,13366,Alfred and Alice Lachmann IntL Nutrition,2026-07-01 13:38:29.229
13U34,UC Path Default 67721,1000A,Unrestricted A,1000B,Unrestricted B,1300C,Other Unrestricted C,13U2D,Unrestricted General,13U34,UC Path Default 67721,13U34,UC Path Default 67721,2026-07-01 13:38:29.229
P1065,Rucker Family Fellowship 124728 45978,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P1065,Rucker Family Fellowship 124728 45978,P1065,Rucker Family Fellowship 124728 45978,2026-07-01 13:38:29.229
74842,Nutrition Research and Education Fund 56595,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,74842,Nutrition Research and Education Fund 56595,74842,Nutrition Research and Education Fund 56595,2026-07-01 13:38:29.229
